WorkerId,Input.model1_summary1,Input.model2_summary1,Input.model1_summary2,Input.model2_summary2,Input.model1_summary3,Input.model2_summary3,Input.model1_summary4,Input.model2_summary4,Input.model1_summary5,Input.model2_summary5,Input.id1,Input.id2,Input.id3,Input.id4,Input.id5,Answer.pref1,Answer.pref2,Answer.pref3,Answer.pref4,Answer.pref5
1,A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down. The picture has gone viral and advertisers are using the confusion to promote their own confusing products, such as taxes.","A photo of a cat on stairs has gone viral, with people debating whether the cat is going up or down. Advertisers are using the confusion to promote their products.",A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat on stairs has gone viral, with people debating whether the cat is going up or down. The picture has sparked discussion about the cat's motion and the construction of the stairs. Advertisers are using the debate to promote their products.",A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down. The picture has gained popularity thanks to a post on 9gag.com and people are discussing the cat's motion and the construction of the stairs. Advertisers are also using the situation to promote their products.,A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat going up or down stairs has gone viral on social media, sparking a debate among viewers. Some are discussing the cat's motion while others are commenting on the stairs. Advertisers are using this opportunity to promote confusing topics like taxes.",1,2,1,2,1,-1,1,-1,1,-1
2,A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down. The picture has gone viral and advertisers are using the confusion to promote their own confusing products, such as taxes.","A photo of a cat on stairs has gone viral, with people debating whether the cat is going up or down. Advertisers are using the confusion to promote their products.",A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat on stairs has gone viral, with people debating whether the cat is going up or down. The picture has sparked discussion about the cat's motion and the construction of the stairs. Advertisers are using the debate to promote their products.",A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down. The picture has gained popularity thanks to a post on 9gag.com and people are discussing the cat's motion and the construction of the stairs. Advertisers are also using the situation to promote their products.,A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat going up or down stairs has gone viral on social media, sparking a debate among viewers. Some are discussing the cat's motion while others are commenting on the stairs. Advertisers are using this opportunity to promote confusing topics like taxes.",1,2,1,2,1,-1,-1,0,-1,-1
3,A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down. The picture has gone viral and advertisers are using the confusion to promote their own confusing products, such as taxes.","A photo of a cat on stairs has gone viral, with people debating whether the cat is going up or down. Advertisers are using the confusion to promote their products.",A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,A viral photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat on stairs has gone viral, with people debating whether the cat is going up or down. The picture has sparked discussion about the cat's motion and the construction of the stairs. Advertisers are using the debate to promote their products.",A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down. The picture has gained popularity thanks to a post on 9gag.com and people are discussing the cat's motion and the construction of the stairs. Advertisers are also using the situation to promote their products.,A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,A photo of a cat on stairs has sparked a debate on social media about whether the cat is going up or down the stairs. The photo was posted on Imgur and gained popularity after being shared on 9gag.com. Some people are commenting on the construction of the stairs while others are discussing the motion of the cat. The article also mentions that advertisers are taking advantage of the debate.,"A photo of a cat going up or down stairs has gone viral on social media, sparking a debate among viewers. Some are discussing the cat's motion while others are commenting on the stairs. Advertisers are using this opportunity to promote confusing topics like taxes.",1,2,1,2,1,0,1,-1,1,0
4,"Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z recently defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched with a star-studded event, has faced criticism for its performance and a parody Twitter account has been created. Jay Z's tweets were met with some skepticism and derision.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to competitor Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched with a star-studded news conference, has faced criticism and a parody account has been created.","Jay Z recently defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched last month with a star-studded event, has been facing criticism for its performance and Jay Z's tweets were met with some backlash. A parody Twitter account was also created to mock the situation.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to competitor Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z took to Twitter to defend his new music streaming service, Tidal, which has been receiving criticism since its launch. He used the hashtag #TidalFacts to refute claims that the service is not performing well, and a parody account was created in response. Tidal was launched last month with a star-studded event, and is being touted as the first artist-owned global music and entertainment platform.","Jay Z took to Twitter to defend his new music streaming service, Tidal, after facing criticism about its performance. The service, which was launched last month with a star-studded news conference, is being seen as a less than stellar competitor to Spotify. Jay Z's tweets using the hashtag #TidalFacts were met with some skepticism and a parody Twitter account was created to mock the situation.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.",1,1,2,1,2,1,0,0,0,-1
2,"Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z recently defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched with a star-studded event, has faced criticism for its performance and a parody Twitter account has been created. Jay Z's tweets were met with some skepticism and derision.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to competitor Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched with a star-studded news conference, has faced criticism and a parody account has been created.","Jay Z recently defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched last month with a star-studded event, has been facing criticism for its performance and Jay Z's tweets were met with some backlash. A parody Twitter account was also created to mock the situation.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to competitor Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z took to Twitter to defend his new music streaming service, Tidal, which has been receiving criticism since its launch. He used the hashtag #TidalFacts to refute claims that the service is not performing well, and a parody account was created in response. Tidal was launched last month with a star-studded event, and is being touted as the first artist-owned global music and entertainment platform.","Jay Z took to Twitter to defend his new music streaming service, Tidal, after facing criticism about its performance. The service, which was launched last month with a star-studded news conference, is being seen as a less than stellar competitor to Spotify. Jay Z's tweets using the hashtag #TidalFacts were met with some skepticism and a parody Twitter account was created to mock the situation.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.",1,1,2,1,2,-1,-1,1,-1,1
1,"Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z recently defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched with a star-studded event, has faced criticism for its performance and a parody Twitter account has been created. Jay Z's tweets were met with some skepticism and derision.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to competitor Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched with a star-studded news conference, has faced criticism and a parody account has been created.","Jay Z recently defended his new music streaming service, Tidal, on Twitter using the hashtag #TidalFacts. The service, which was launched last month with a star-studded event, has been facing criticism for its performance and Jay Z's tweets were met with some backlash. A parody Twitter account was also created to mock the situation.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to competitor Spotify. His tweets were met with derision and a parody Twitter account was created.","Jay Z took to Twitter to defend his new music streaming service, Tidal, which has been receiving criticism since its launch. He used the hashtag #TidalFacts to refute claims that the service is not performing well, and a parody account was created in response. Tidal was launched last month with a star-studded event, and is being touted as the first artist-owned global music and entertainment platform.","Jay Z took to Twitter to defend his new music streaming service, Tidal, after facing criticism about its performance. The service, which was launched last month with a star-studded news conference, is being seen as a less than stellar competitor to Spotify. Jay Z's tweets using the hashtag #TidalFacts were met with some skepticism and a parody Twitter account was created to mock the situation.","Jay Z defends Tidal music streaming service on Twitter, using #TidalFacts to refute claims of poor performance compared to Spotify. His tweets were met with derision and a parody Twitter account was created.",1,1,2,1,2,-1,1,1,-1,-1
5,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, which he believes is the perfect solution for keeping a house at a comfortable temperature. The house is made up of panels, some made of steel and some of glass, with a sheet of water trapped between them. The water helps to equalize the temperature across the building, and the house can reheat itself when it's hot. The system is efficient and sustainable, producing its own energy and reducing carbon emissions.","Hungarian architect Matyas Gutai has built a prototype house that uses water as a building material to regulate temperature and reduce energy needs. The house is able to reheat itself and can be modified using a monitoring system. Despite some challenges, the water house showcases the potential for more sustainable and efficient architecture.",Hungarian architect Matyas Gutai has built a prototype house using water as a material to keep the temperature comfortable. The house is able to produce its own energy and reduce carbon emissions. Gutai's idea came from a visit to hot baths and he believes this technology could redefine permanence in architecture. The prototype has been successfully built and Gutai is working on implementing this technology in other projects to make water the building material of a greener future.,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, which he believes is the perfect solution for keeping a house at a comfortable temperature. The house is built with panels of steel and glass, with a sheet of water trapped between them, which equalizes the temperature across the building. The house can reheat itself and produce its own energy, making it more sustainable and efficient. Gutai's system is based on liquid engineering and has been developed after years of research and collaboration with universities and manufacturers.","Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with the help of a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and even produce its own energy, making it a sustainable and efficient solution. Gutai believes that architecture should adapt to its environment instead of being resistant to it, and that using water as a building material is a way to achieve this.",Hungarian architect Matyas Gutai has built a prototype house using water as a key component to regulate the temperature. The house is able to reheat itself and can be modified using a monitoring system. Gutai believes this new technology could lead to more sustainable and energy-efficient buildings in the future.,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with the help of a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass, with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and even produce its own energy, making it a sustainable and efficient solution. Gutai's goal is to use less energy and materials and take cities off-grid, and he is working with factories and companies across Europe on projects using this technology.","Hungarian architect Matyas Gutai has built a prototype house in his hometown that uses water as a key component in regulating temperature. The house is able to reheat itself and reduce energy needs, making it a sustainable and efficient solution. Gutai's goal is to use this technology to construct houses that are more independent of energy suppliers and reduce carbon emissions.","Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass, with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and produce its own energy, making it sustainable and efficient. Despite being more expensive than traditional designs, Gutai's water house aims to reduce energy needs and is being used in projects across Europe.","Hungarian architect Matyas Gutai has built a prototype house in Kecskemet, Hungary that uses water as a key material for regulating temperature. The house is able to reheat itself and store excess heat for later use, making it more energy efficient and sustainable. Gutai's research and development of this ""liquid engineering"" concept has potential to revolutionize the way we think about building and architecture.",1,2,1,1,1,1,-1,0,1,0
6,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, which he believes is the perfect solution for keeping a house at a comfortable temperature. The house is made up of panels, some made of steel and some of glass, with a sheet of water trapped between them. The water helps to equalize the temperature across the building, and the house can reheat itself when it's hot. The system is efficient and sustainable, producing its own energy and reducing carbon emissions.","Hungarian architect Matyas Gutai has built a prototype house that uses water as a building material to regulate temperature and reduce energy needs. The house is able to reheat itself and can be modified using a monitoring system. Despite some challenges, the water house showcases the potential for more sustainable and efficient architecture.",Hungarian architect Matyas Gutai has built a prototype house using water as a material to keep the temperature comfortable. The house is able to produce its own energy and reduce carbon emissions. Gutai's idea came from a visit to hot baths and he believes this technology could redefine permanence in architecture. The prototype has been successfully built and Gutai is working on implementing this technology in other projects to make water the building material of a greener future.,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, which he believes is the perfect solution for keeping a house at a comfortable temperature. The house is built with panels of steel and glass, with a sheet of water trapped between them, which equalizes the temperature across the building. The house can reheat itself and produce its own energy, making it more sustainable and efficient. Gutai's system is based on liquid engineering and has been developed after years of research and collaboration with universities and manufacturers.","Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with the help of a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and even produce its own energy, making it a sustainable and efficient solution. Gutai believes that architecture should adapt to its environment instead of being resistant to it, and that using water as a building material is a way to achieve this.",Hungarian architect Matyas Gutai has built a prototype house using water as a key component to regulate the temperature. The house is able to reheat itself and can be modified using a monitoring system. Gutai believes this new technology could lead to more sustainable and energy-efficient buildings in the future.,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with the help of a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass, with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and even produce its own energy, making it a sustainable and efficient solution. Gutai's goal is to use less energy and materials and take cities off-grid, and he is working with factories and companies across Europe on projects using this technology.","Hungarian architect Matyas Gutai has built a prototype house in his hometown that uses water as a key component in regulating temperature. The house is able to reheat itself and reduce energy needs, making it a sustainable and efficient solution. Gutai's goal is to use this technology to construct houses that are more independent of energy suppliers and reduce carbon emissions.","Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass, with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and produce its own energy, making it sustainable and efficient. Despite being more expensive than traditional designs, Gutai's water house aims to reduce energy needs and is being used in projects across Europe.","Hungarian architect Matyas Gutai has built a prototype house in Kecskemet, Hungary that uses water as a key material for regulating temperature. The house is able to reheat itself and store excess heat for later use, making it more energy efficient and sustainable. Gutai's research and development of this ""liquid engineering"" concept has potential to revolutionize the way we think about building and architecture.",1,2,1,1,1,-1,0,-1,0,-1
7,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, which he believes is the perfect solution for keeping a house at a comfortable temperature. The house is made up of panels, some made of steel and some of glass, with a sheet of water trapped between them. The water helps to equalize the temperature across the building, and the house can reheat itself when it's hot. The system is efficient and sustainable, producing its own energy and reducing carbon emissions.","Hungarian architect Matyas Gutai has built a prototype house that uses water as a building material to regulate temperature and reduce energy needs. The house is able to reheat itself and can be modified using a monitoring system. Despite some challenges, the water house showcases the potential for more sustainable and efficient architecture.",Hungarian architect Matyas Gutai has built a prototype house using water as a material to keep the temperature comfortable. The house is able to produce its own energy and reduce carbon emissions. Gutai's idea came from a visit to hot baths and he believes this technology could redefine permanence in architecture. The prototype has been successfully built and Gutai is working on implementing this technology in other projects to make water the building material of a greener future.,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, which he believes is the perfect solution for keeping a house at a comfortable temperature. The house is built with panels of steel and glass, with a sheet of water trapped between them, which equalizes the temperature across the building. The house can reheat itself and produce its own energy, making it more sustainable and efficient. Gutai's system is based on liquid engineering and has been developed after years of research and collaboration with universities and manufacturers.","Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with the help of a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and even produce its own energy, making it a sustainable and efficient solution. Gutai believes that architecture should adapt to its environment instead of being resistant to it, and that using water as a building material is a way to achieve this.",Hungarian architect Matyas Gutai has built a prototype house using water as a key component to regulate the temperature. The house is able to reheat itself and can be modified using a monitoring system. Gutai believes this new technology could lead to more sustainable and energy-efficient buildings in the future.,"Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with the help of a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass, with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and even produce its own energy, making it a sustainable and efficient solution. Gutai's goal is to use less energy and materials and take cities off-grid, and he is working with factories and companies across Europe on projects using this technology.","Hungarian architect Matyas Gutai has built a prototype house in his hometown that uses water as a key component in regulating temperature. The house is able to reheat itself and reduce energy needs, making it a sustainable and efficient solution. Gutai's goal is to use this technology to construct houses that are more independent of energy suppliers and reduce carbon emissions.","Hungarian architect Matyas Gutai has built a prototype house using water as the main material, with a grant from the EU. The house showcases his ""liquid engineering"" concept and uses panels of steel and glass, with a sheet of water trapped between them to equalize the temperature. The house can reheat itself and produce its own energy, making it sustainable and efficient. Despite being more expensive than traditional designs, Gutai's water house aims to reduce energy needs and is being used in projects across Europe.","Hungarian architect Matyas Gutai has built a prototype house in Kecskemet, Hungary that uses water as a key material for regulating temperature. The house is able to reheat itself and store excess heat for later use, making it more energy efficient and sustainable. Gutai's research and development of this ""liquid engineering"" concept has potential to revolutionize the way we think about building and architecture.",1,2,1,1,1,0,1,1,-1,-1
1,"20-somethings Josh and Vanessa Ellis, who led a youth ministry, and their 8-month-old son were killed when a construction project's concrete barrier crashed onto their car in Bonney Lake, a Seattle suburb. The family was driving underneath a highway overpass when the incident occurred. The investigation is ongoing, but initial findings suggest the barrier came loose and fell onto the roadway. The couple was passionate about helping young people discover the love and grace of Jesus.","A young couple and their 8-month-old son were killed when a construction project caused concrete to fall onto their car in Bonney Lake, Washington. The couple were youth pastors and described as loving and passionate. The incident is under investigation and has left their church community in shock. Witnesses heard the collapse and neighbors felt the impact.","20-somethings Josh and Vanessa Ellis, who led a youth ministry, and their 8-month-old son, Hudson, were killed when a construction project's concrete crashed onto their car in Bonney Lake, a Seattle suburb. The family was driving underneath a highway overpass when the incident occurred. The investigation found that a side jersey barrier came loose and fell onto the roadway, landing on the roof of the vehicle. The couple was passionate about helping young people discover the love and grace of Jesus.","A couple in their 20s and their 8-month-old son were killed when concrete from a construction project fell onto their car while driving in Bonney Lake, Washington. The couple were youth pastors and loved spending time with friends and family. The church they were a part of is devastated by their loss. Neighbors and witnesses described the collapse as violent and shocking.","20-somethings Josh and Vanessa Ellis, who led a youth ministry, and their 8-month-old son, Hudson, were killed when a construction project's concrete crashed onto their car in Bonney Lake, a Seattle suburb. The family was driving underneath a highway overpass when other motorists heard the collapse. It took nine hours for crews to remove debris and discover the death toll. The investigation found that a side jersey barrier came loose and fell onto the roadway, landing on the roof of the vehicle.",A young couple and their baby were killed when a construction project caused a highway overpass to collapse onto their car. The couple were youth pastors and their church is devastated by the tragedy. Witnesses heard the crash and neighbors felt the impact inside their homes.,"20-somethings Josh and Vanessa Ellis, who led a youth ministry, and their 8-month-old son were killed when a construction barrier fell onto their car in Bonney Lake, a Seattle suburb. The family was driving underneath a highway overpass when the incident occurred. The investigation is ongoing, but initial findings suggest the barrier came loose and fell onto the roadway. The couple was passionate about helping young people discover Jesus' love and had written a short autobiography on their church website.",A young couple and their 8-month-old son were killed when a construction project caused a highway overpass to collapse onto their car. The couple were youth pastors and their church community is in shock. Neighbors reported a violent crash and authorities are still investigating the cause.,"A couple in their 20s, who were youth pastors, and their baby were killed when concrete from a construction project fell onto their car in Bonney Lake, a Seattle suburb. It took nine hours to remove enough debris to discover the death toll. The couple was described as passionate and fun-loving by their church community. The incident is still under investigation.","A couple in their 20s, who led a youth ministry, and their baby boy were killed in a car accident caused by a collapsing concrete structure on a highway in Bonney Lake, a Seattle suburb. The incident occurred underneath an overpass, and it took nine hours for crews to remove debris and discover the death toll. The investigation found that a construction project on the highway caused the barrier to fall onto the roadway, landing on the roof of the victim's car.",1,1,1,1,2,-1,-1,-1,-1,1
