WorkerId,Input.model1_summary1,Input.model2_summary1,Input.model1_summary2,Input.model2_summary2,Input.model1_summary3,Input.model2_summary3,Input.model1_summary4,Input.model2_summary4,Input.model1_summary5,Input.model2_summary5,Input.id1,Input.id2,Input.id3,Input.id4,Input.id5,Answer.pref1,Answer.pref2,Answer.pref3,Answer.pref4,Answer.pref5
1,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,"Evan informs Dennis that he needs to cancel their lesson due to having the flu, but assures him that he should be able to make it next week. Dennis wishes him well and reminds him to give advance notice if he needs to cancel again.",Evan informs Dennis that he needs to cancel their lesson due to having the flu and hopes to be able to attend next week. Dennis reminds Evan to give him advance notice for any future cancellations and wishes him a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and plans to reschedule for the following week. Dennis wishes Evan a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and assures him that he will be able to make it the following week. Dennis wishes Evan a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and plans to reschedule for the following week. Dennis wishes him well and asks for advance notice if he needs to cancel again.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,1,2,2,2,2,1,-1,-1,-1,-1
2,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,"Evan informs Dennis that he needs to cancel their lesson due to having the flu, but assures him that he should be able to make it next week. Dennis wishes him well and reminds him to give advance notice if he needs to cancel again.",Evan informs Dennis that he needs to cancel their lesson due to having the flu and hopes to be able to attend next week. Dennis reminds Evan to give him advance notice for any future cancellations and wishes him a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and plans to reschedule for the following week. Dennis wishes Evan a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and assures him that he will be able to make it the following week. Dennis wishes Evan a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and plans to reschedule for the following week. Dennis wishes him well and asks for advance notice if he needs to cancel again.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,1,2,2,2,2,1,-1,-1,-1,-1
3,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,"Evan informs Dennis that he needs to cancel their lesson due to having the flu, but assures him that he should be able to make it next week. Dennis wishes him well and reminds him to give advance notice if he needs to cancel again.",Evan informs Dennis that he needs to cancel their lesson due to having the flu and hopes to be able to attend next week. Dennis reminds Evan to give him advance notice for any future cancellations and wishes him a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and plans to reschedule for the following week. Dennis wishes Evan a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and assures him that he will be able to make it the following week. Dennis wishes Evan a speedy recovery.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,Evan cancels his lesson with Dennis due to having the flu and plans to reschedule for the following week. Dennis wishes him well and asks for advance notice if he needs to cancel again.,Evan needs to cancel his lesson tomorrow due to the flu and will be unavailable until next Thursday. He thanks Dennis and wishes him well.,1,2,2,2,2,1,-1,-1,-1,-1
2,"Derek asks Judy to feed his animals on Friday and Saturday while he's away for the weekend, and she agrees to do so and collect the keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy to feed his animals on Friday and Saturday, to which she agrees and suggests picking up the keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy if she can feed his animals over the weekend, and she agrees to do so. They make plans for Judy to receive the keys on Thursday.",Derek asks Judy to feed his animals over the weekend and she agrees. They plan to exchange keys on Thursday and discuss the details later.,"Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy to feed his animals while he is away for the weekend, and she agrees to do so and receive his keys on Thursday.",2,2,1,2,1,1,1,1,1,-1
4,"Derek asks Judy to feed his animals on Friday and Saturday while he's away for the weekend, and she agrees to do so and collect the keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy to feed his animals on Friday and Saturday, to which she agrees and suggests picking up the keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy if she can feed his animals over the weekend, and she agrees to do so. They make plans for Judy to receive the keys on Thursday.",Derek asks Judy to feed his animals over the weekend and she agrees. They plan to exchange keys on Thursday and discuss the details later.,"Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy to feed his animals while he is away for the weekend, and she agrees to do so and receive his keys on Thursday.",2,2,1,2,1,-1,-1,1,-1,1
5,"Derek asks Judy to feed his animals on Friday and Saturday while he's away for the weekend, and she agrees to do so and collect the keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy to feed his animals on Friday and Saturday, to which she agrees and suggests picking up the keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy if she can feed his animals over the weekend, and she agrees to do so. They make plans for Judy to receive the keys on Thursday.",Derek asks Judy to feed his animals over the weekend and she agrees. They plan to exchange keys on Thursday and discuss the details later.,"Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Judy agrees to feed Derek's animals on Friday and Saturday, and he offers to give her his keys on Thursday.","Derek asks Judy to feed his animals while he is away for the weekend, and she agrees to do so and receive his keys on Thursday.",2,2,1,2,1,-1,0,0,0,-1
4,"Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a story about investigating a run-down building with friends and Jamie commenting on the creepy atmosphere. Harriette admits to being scared but still enjoyed the experience.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a story from high school and Jamie expressing interest but not having gone before. Harriette mentions being scared by a cat while ghost hunting and both agree that it's an intense but memorable experience.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy, but Jamie suggests that it's also part of the experience. Harriette admits that she wouldn't try something like that alone again.","Harriette and Jamie discuss ghost hunting, with Harriette admitting she went once in high school and didn't see any ghosts, but found the experience unsettling due to the atmosphere. Jamie agrees that it's part of the experience, but Harriette says she wouldn't try it alone.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a funny story about being spooked by a cat during her high school investigation. They both agree that it's an interesting and slightly scary experience, but not something they would do alone.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing her one-time experience in high school and Jamie commenting on the creepy atmosphere. Harriette admits to being scared by a cat meowing and would not go ghost hunting alone.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy, but it was an overall positive experience for Harriette.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing her experience of going with friends in high school and how the atmosphere can make even normal things seem creepy. Harriette ultimately enjoyed the experience but wouldn't do it alone.",2,2,1,2,1,1,1,-1,-1,-1
6,"Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a story about investigating a run-down building with friends and Jamie commenting on the creepy atmosphere. Harriette admits to being scared but still enjoyed the experience.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a story from high school and Jamie expressing interest but not having gone before. Harriette mentions being scared by a cat while ghost hunting and both agree that it's an intense but memorable experience.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy, but Jamie suggests that it's also part of the experience. Harriette admits that she wouldn't try something like that alone again.","Harriette and Jamie discuss ghost hunting, with Harriette admitting she went once in high school and didn't see any ghosts, but found the experience unsettling due to the atmosphere. Jamie agrees that it's part of the experience, but Harriette says she wouldn't try it alone.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a funny story about being spooked by a cat during her high school investigation. They both agree that it's an interesting and slightly scary experience, but not something they would do alone.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing her one-time experience in high school and Jamie commenting on the creepy atmosphere. Harriette admits to being scared by a cat meowing and would not go ghost hunting alone.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy, but it was an overall positive experience for Harriette.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing her experience of going with friends in high school and how the atmosphere can make even normal things seem creepy. Harriette ultimately enjoyed the experience but wouldn't do it alone.",2,2,1,2,1,-1,1,-1,-1,1
7,"Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a story about investigating a run-down building with friends and Jamie commenting on the creepy atmosphere. Harriette admits to being scared but still enjoyed the experience.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a story from high school and Jamie expressing interest but not having gone before. Harriette mentions being scared by a cat while ghost hunting and both agree that it's an intense but memorable experience.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy, but Jamie suggests that it's also part of the experience. Harriette admits that she wouldn't try something like that alone again.","Harriette and Jamie discuss ghost hunting, with Harriette admitting she went once in high school and didn't see any ghosts, but found the experience unsettling due to the atmosphere. Jamie agrees that it's part of the experience, but Harriette says she wouldn't try it alone.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing a funny story about being spooked by a cat during her high school investigation. They both agree that it's an interesting and slightly scary experience, but not something they would do alone.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing her one-time experience in high school and Jamie commenting on the creepy atmosphere. Harriette admits to being scared by a cat meowing and would not go ghost hunting alone.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy.","Harriette and Jamie discuss ghost hunting, with Harriette sharing her experience of going ghost hunting in high school with friends. They both agree that the atmosphere can make unexpected things seem creepy, but it was an overall positive experience for Harriette.","Harriette and Jamie discuss their experiences with ghost hunting, with Harriette sharing her experience of going with friends in high school and how the atmosphere can make even normal things seem creepy. Harriette ultimately enjoyed the experience but wouldn't do it alone.",2,2,1,2,1,-1,1,-1,-1,1
8,"Johnatan and Darren are discussing having beer now, Lucas is available in the evening.","Johnatan asks if the group wants to have beer, Darren and Lucas are both interested, and Lucas mentions he is available in the evening.","Johnatan and Darren discuss having beer now, and Lucas is available in the evening.","Johnatan asks if they want to go get beer, Darren and Lucas agree and make plans for later in the evening.","Johnatan and Darren are discussing having beer now, Lucas is available in the evening.","Johnatan suggests getting beer with his friends Darren and Lucas, who are both enthusiastic about the idea but Lucas is only available in the evening.","Johnatan and Darren are discussing having beer now, Lucas is available in the evening.","Johnatan asks if the others want to get beer, and Darren and Lucas agree to meet up later in the evening.","Johnatan suggests getting beer with his friends, Darren and Lucas, and they all agree to meet up in the evening.","Johnatan and Darren are discussing having beer now, Lucas is available in the evening.",1,1,1,1,2,1,0,1,1,-1
